날짜,요일,홈,방문,구장,관중수
2017/08/19,토,KIA,SK,광주,"19,270"
2017/08/19,토,LG,삼성,잠실,"18,337"
2017/08/20,일,한화,롯데,대전,"5,643"
2017/08/20,일,넥센,NC,고척,"6,235"
2017/08/20,일,KT,두산,수원,"7,090"
2017/08/22,화,KT,한화,수원,"5,623"
2017/08/22,화,KIA,롯데,광주,"8,714"
2017/08/22,화,LG,NC,잠실,"8,626"
2017/08/22,화,SK,두산,문학,"8,067"
2017/08/22,화,넥센,삼성,고척,"6,144"
2017/08/23,수,KT,한화,수원,"4,174"
2017/08/23,수,KIA,롯데,광주,"9,789"
2017/08/23,수,LG,NC,잠실,"7,105"
2017/08/23,수,SK,두산,문학,"5,712"
2017/08/23,수,넥센,삼성,고척,"8,733"
2017/08/24,목,NC,KT,마산,"5,761"
2017/08/24,목,롯데,LG,사직,"13,838"
2017/08/24,목,삼성,SK,대구,"6,896"
2017/08/24,목,두산,넥센,잠실,"7,139"
2017/08/25,금,한화,KIA,대전,"6,471"
2017/08/25,금,NC,KT,마산,"7,305"
2017/08/25,금,롯데,LG,사직,"16,704"
2017/08/25,금,삼성,SK,대구,"7,478"
2017/08/25,금,두산,넥센,잠실,"10,083"
2017/08/26,토,SK,한화,문학,"23,874"
2017/08/26,토,NC,KIA,마산,"11,000"
2017/08/26,토,삼성,KT,대구,"16,096"
2017/08/26,토,두산,LG,잠실,"25,000"
2017/08/26,토,롯데,넥센,사직,"26,600"
2017/08/27,일,SK,한화,문학,"15,774"
2017/08/27,일,NC,KIA,마산,"7,620"
2017/08/27,일,삼성,KT,대구,"7,746"
2017/08/27,일,두산,LG,잠실,"19,592"
2017/08/27,일,롯데,넥센,사직,"21,858"
2017/08/29,화,삼성,KIA,대구,"7,630"
2017/08/29,화,한화,LG,대전,"3,670"
2017/08/29,화,두산,롯데,잠실,"17,150"
2017/08/29,화,KT,NC,수원,"4,335"
2017/08/29,화,넥센,SK,고척,"4,294"
2017/08/30,수,삼성,KIA,대구,"8,603"
2017/08/30,수,한화,LG,대전,"3,585"
2017/08/30,수,두산,롯데,잠실,"17,652"
2017/08/30,수,KT,NC,수원,"4,598"
2017/08/30,수,넥센,SK,고척,"4,310"
2017/08/31,목,한화,KT,대전,"3,790"
2017/08/31,목,롯데,NC,사직,"12,058"
2017/08/31,목,KIA,두산,광주,"14,068"
2017/08/31,목,SK,삼성,문학,"6,457"
2017/08/31,목,LG,넥센,잠실,"8,161"
2017/09/01,금,한화,KT,대전,"5,282"
2017/09/01,금,롯데,NC,사직,"15,119"
2017/09/01,금,KIA,두산,광주,"16,208"
2017/09/01,금,SK,삼성,문학,"22,526"
2017/09/01,금,LG,넥센,잠실,"9,705"
2017/09/02,토,롯데,한화,사직,"26,600"
2017/09/02,토,넥센,KIA,고척,"17,000"
2017/09/02,토,NC,LG,마산,"9,105"
2017/09/02,토,KT,SK,수원,"8,312"
2017/09/02,토,두산,삼성,잠실,"21,185"
2017/09/03,일,롯데,한화,사직,"20,502"
2017/09/03,일,넥센,KIA,고척,"17,000"
2017/09/03,일,NC,LG,마산,"7,518"
2017/09/03,일,KT,SK,수원,"6,569"
2017/09/03,일,두산,삼성,잠실,"21,654"
2017/09/05,화,LG,KIA,잠실,"17,754"
2017/09/05,화,SK,롯데,문학,"8,955"
2017/09/05,화,삼성,NC,대구,"3,529"
2017/09/05,화,한화,두산,대전,"3,757"
2017/09/05,화,KT,넥센,수원,"4,103"
2017/09/06,수,LG,KIA,잠실,"16,971"
2017/09/06,수,한화,두산,대전,"4,837"
2017/09/06,수,KT,넥센,수원,"3,958"
2017/09/07,목,KIA,한화,광주,"12,511"
2017/09/07,목,두산,KT,잠실,"8,151"
2017/09/07,목,넥센,LG,고척,"10,307"
2017/09/07,목,NC,SK,마산,"5,852"
2017/09/07,목,롯데,삼성,사직,"16,088"
2017/09/08,금,KIA,한화,광주,"15,929"
2017/09/08,금,두산,KT,잠실,"10,353"
2017/09/08,금,넥센,LG,고척,"9,902"
2017/09/08,금,NC,SK,마산,"6,317"
2017/09/08,금,롯데,삼성,사직,"21,258"
2017/09/09,토,KT,롯데,수원,"21,037"
2017/09/09,토,한화,NC,대전,"9,618"
2017/09/09,토,LG,두산,잠실,"24,112"
2017/09/09,토,KIA,삼성,광주,"20,500"
2017/09/09,토,SK,넥센,문학,"22,803"
2017/09/10,일,KT,롯데,수원,"18,406"
2017/09/10,일,한화,NC,대전,"7,096"
2017/09/10,일,LG,두산,잠실,"21,683"
2017/09/10,일,KIA,삼성,광주,"19,686"
2017/09/10,일,SK,넥센,문학,"18,137"
2017/09/12,화,삼성,한화,대구,"7,826"
2017/09/12,화,SK,KIA,문학,"19,349"
2017/09/12,화,넥센,KT,고척,"5,628"
2017/09/12,화,LG,롯데,잠실,"17,685"
2017/09/12,화,NC,두산,마산,"6,961"
2017/09/13,수,삼성,한화,대구,"9,174"
2017/09/13,수,SK,KIA,문학,"19,364"
2017/09/13,수,넥센,KT,고척,"7,033"
2017/09/13,수,LG,롯데,잠실,"19,068"
2017/09/13,수,NC,두산,마산,"7,206"
2017/09/14,목,롯데,KIA,사직,"17,991"
2017/09/14,목,KT,LG,수원,"8,015"
2017/09/14,목,두산,SK,잠실,"12,965"
2017/09/14,목,NC,삼성,마산,"6,423"
2017/09/14,목,한화,넥센,대전,"5,079"
2017/09/15,금,롯데,KIA,사직,"16,325"
2017/09/15,금,KT,LG,수원,"9,214"
2017/09/15,금,두산,SK,잠실,"14,770"
2017/09/15,금,NC,삼성,마산,"8,248"
2017/09/15,금,한화,넥센,대전,"6,091"
2017/09/16,토,LG,한화,잠실,"19,961"
2017/09/16,토,KIA,KT,광주,"17,941"
2017/09/16,토,삼성,두산,대구,"17,448"
2017/09/16,토,롯데,SK,사직,"18,652"
2017/09/16,토,NC,넥센,마산,"7,362"
2017/09/17,일,LG,한화,잠실,"16,454"
2017/09/17,일,KIA,KT,광주,"15,877"
2017/09/17,일,삼성,두산,대구,"14,061"
2017/09/17,일,롯데,SK,사직,"13,024"
2017/09/17,일,NC,넥센,마산,"7,286"
2017/09/19,화,LG,KT,잠실,"5,523"
2017/09/19,화,롯데,두산,사직,"14,916"
2017/09/19,화,KIA,SK,광주,"7,405"
2017/09/20,수,LG,한화,잠실,"9,719"
2017/09/20,수,NC,두산,마산,"5,256"
2017/09/20,수,KIA,SK,광주,"7,823"
2017/09/21,목,삼성,LG,대구,"8,304"
2017/09/21,목,KT,넥센,수원,"3,829"
2017/09/22,금,삼성,LG,대구,"10,073"
2017/09/22,금,한화,롯데,대전,"5,464"
2017/09/22,금,KIA,두산,광주,"14,107"
2017/09/23,토,KIA,KT,광주,"12,056"
2017/09/23,토,NC,LG,마산,"7,192"
2017/09/23,토,한화,삼성,대전,"7,539"
2017/09/23,토,롯데,넥센,사직,"23,194"
2017/09/24,일,KIA,한화,광주,"12,590"
2017/09/24,일,두산,KT,잠실,"18,802"
2017/09/24,일,NC,LG,마산,"6,706"
2017/09/26,화,롯데,한화,사직,"15,625"
2017/09/26,화,KIA,LG,광주,"11,894"
2017/09/27,수,삼성,NC,대구,"8,204"
2017/09/27,수,KT,두산,수원,"10,643"
2017/09/28,목,한화,KIA,대전,"5,738"
2017/09/28,목,KT,LG,수원,"7,628"
2017/09/29,금,한화,KIA,대전,"6,094"
2017/09/29,금,SK,롯데,문학,"25,000"
2017/09/29,금,LG,두산,잠실,"22,246"
2017/09/29,금,NC,넥센,마산,"7,338"
2017/09/30,토,한화,SK,대전,"7,264"
2017/09/30,토,LG,삼성,잠실,"18,477"
2017/09/30,토,NC,넥센,마산,"11,000"
2017/10/01,일,KT,KIA,수원,"22,000"
2017/10/01,일,한화,두산,대전,"9,141"
2017/10/01,일,LG,삼성,잠실,"19,440"
2017/10/02,월,KT,KIA,수원,"22,000"
2017/10/03,화,KT,KIA,수원,"22,000"
2017/10/03,화,롯데,LG,사직,"26,600"
2017/10/03,화,한화,NC,대전,"10,401"
2017/10/03,화,두산,SK,잠실,"25,000"
2017/10/03,화,삼성,넥센,대구,"24,000"
